	dm	ssdmass
Sterna_aleutica	2	NA
Sterna_anaethetus	2	NA
Sterna_antillarum	2	-0.021674077
Sterna_balaenarum	2	NA
Sterna_bengalensis	2	NA
Sterna_bergii	2	NA
Sterna_caspia	2	0.063131587
Sterna_dougallii	2	NA
Sterna_elegans	2	NA
Sterna_fuscata	2	NA
Sterna_hirundo	2	-0.00694886
Sterna_lunata	2	NA
Sterna_nereis	2	-0.001201369
Sterna_paradisea	2	-0.018967839
Sterna_repressa	2	NA
Sterna_sandvicensis	2	NA
Sterna_striata	2	-0.020564154
Sterna_sumatrana	2	0
Sterna_vittata	2	NA
Stiltia_isabella	2	0.006630579
Synthliboramphus_antiquus	2	0.001264936
Synthliboramphus_hypoleucos	2	-0.018178255
Uria_aalge	2	-0.001767223
Uria_lomvia	2	0.015175411
